,Unnamed: 0,doc_id,doc_name,par_id,par,label,par_length,sent_num
56,56,2,about.musixmatch.com.txt,38,"We may analyze, evaluate, and/or aggregate this information to help us understand your interests and the interests of our other users, to analyze trends, to optimize your user experience and improve the Service.",First Party Use,38,1
57,57,2,about.musixmatch.com.txt,39,"Other things you should know:We may share aggregated information about the Service and our users, without seeking additional consent, with third parties (including, without limitation, advertisers, media, and actual or potential partners or investors) for informational, marketing, and/or promotional purposes.",First Party Use,53,1
60,60,2,about.musixmatch.com.txt,42,"When you use features that add a mask or other effects to your face when using the Service, we collect facial tracking and mapping information from you using the camera on your device.",First Party Collection,35,1
62,62,2,about.musixmatch.com.txt,44,We use the facial tracking and mapping information we collect to enable facial effect features when using the Service.,First Party Use,20,1
63,63,2,about.musixmatch.com.txt,45,Facial tracking and mapping information remains on your device and is not uploaded to our servers.,First Party Use,17,1
64,64,2,about.musixmatch.com.txt,46,We do not use the facial tracking and mapping information to identify individuals or to target advertising. We do not share facial tracking and mapping information with third parties.,Third Party Sharing and Collection,31,2
67,67,2,about.musixmatch.com.txt,49,Mobile advertising identifiers are identifiers used by mobile operating systems (Apple and/or Android) and made available to advertising providers to gather metrics on mobile apps (Apple’s IDFA or Google’s AAID) to help advertisers provide ads that may be more relevant to your interests.,First Party Use,52,1
70,70,2,about.musixmatch.com.txt,52,"To deliver content, including ads relevant to your interests, on the imo mobile app. Third party advertisers and advertising networks may use advertising identifiers collected from your imo app to deliver ads they believe are relevant to you in other third party apps..",First Party Use,46,2
74,74,2,about.musixmatch.com.txt,56,"If you choose to make purchases through the Services (e.g. for our premium service), we process your payments through a third-party application, such as the Apple App Store or Google Play App Store.",First Party Collection,39,2
76,76,2,about.musixmatch.com.txt,58,"The Apple App Store or Google Play App Store may collect certain financial information from you to process a payment on our behalf, including your name, email address, and other billing information.",First Party Use,36,1
79,79,2,about.musixmatch.com.txt,61,"When you use our Mobile App, we may collect and store information about your location by converting your IP address into a rough geo-location or by accessing your mobile device’s GPS coordinates or coarse location if you enable location services on your device.",First Party Collection,47,1
81,81,2,about.musixmatch.com.txt,63,To improve and personalize our Services and to target advertisements that may be more relevant to you.,First Party Use,18,1
84,84,2,about.musixmatch.com.txt,66,"We will collect, save and store all information contained in your imo chat history for up to 90 days, including your photos, voice messages, videos, sticker and missed calls. If you are a premium user, you can elect to save this information on our servers for a longer period of time. You can permanently delete your imo chat history at any time.",First Party Collection,71,3
86,86,2,about.musixmatch.com.txt,68,"To allow you to access your chat history, photos, videos and missed calls for your own purposes.",First Party Use,20,1
87,87,2,about.musixmatch.com.txt,69,"To collect aggregated data from your chat history. We use the data to build language models which help us improve the Service. We will only collect this data on an aggregated basis, and in a manner which does not reveal any personally identifiable information about any individual user. We will use this data to help us understand our users’ interests, analyze trends, and customize the user experience.",First Party Use,75,4
89,89,2,about.musixmatch.com.txt,71,a. Information we share,Third Party Sharing and Collection,5,2
90,90,2,about.musixmatch.com.txt,72,"In addition to using your information for the purposes described above, we may share your information with parties other than imo or its users (the “Third Parties”). In some cases we may request your permission before we share that information, but we reserve the right to share your information with Third Parties without prior notification or without soliciting additional permission: We discuss below situations where we may share your information without requesting your further permission:We share certain information about you (including information which could be used to personally identify you) with the companies we engage to facilitate our Service, perform Service-related functions, and/or provide the Service on our behalf, such as Internet Service Providers and hosting service providers. We require these companies to maintain your information in confidence, and they are prohibited from using your information in any way other than performing services for or on behalf of imo or to comply with applicable legal requirements.",Third Party Sharing and Collection,174,3
91,91,2,about.musixmatch.com.txt,73,"We may disclose your information (including information which could be used to personally identify you) when we have a good faith belief that disclosure is necessary: (i) to respond to subpoenas, court orders, or other compulsory legal process; (ii) to protect our property rights and investigate and defend against legal claims (iii) to enforce or apply our Privacy Policy, our Terms of Service or our other policies or agreements; (iv) when we believe disclosure is necessary to protect others from death or serious bodily injury; (v) to collect amounts owed to imo; (vi) to respond to your requests; and (vii) as otherwise required by law.",Third Party Sharing and Collection,131,1
92,92,2,about.musixmatch.com.txt,74,"We may allow third-party advertising partners to collect the advertising identifier and IP address from your mobile device and set tracking tools on your browser (e.g., cookies) to collect information regarding your activities (e.g., your IP address, page(s) visited, time of day). We may also share such de-identified information as well as selected personal information we have collected with third-party advertising partners. These advertising partners may use this information (and similar information collected from other websites) for purposes of delivering targeted advertisements to you when you visit non-imo related websites within their networks. This practice is commonly referred to as “interest-based advertising” or “online behavioral advertising. We may allow access to other data collected by the Site to facilitate transmittal of information that may be useful, relevant, valuable or otherwise of interest to you. If you prefer that we do not share your personal information with third-party advertising partners, you may opt-out of such sharing at no cost by following the instructions below.",Third Party Sharing and Collection,188,6
93,93,2,about.musixmatch.com.txt,75,"Transfer your information in the event that imo is involved in a merger, acquisition, divestiture, consolidation, reorganization, asset sale, or bankruptcy",Third Party Sharing and Collection,27,1
95,95,2,about.musixmatch.com.txt,77,You have the right to opt out of certain uses and disclosures of your personal information.,User Control,17,1
96,96,2,about.musixmatch.com.txt,78,a. Email and phone communications,User Control,5,1
97,97,2,about.musixmatch.com.txt,79,"If you receive an unwanted email from us, you can use the unsubscribe link found at the bottom of the email to opt-out of receiving future emails. We will process your request within a reasonable time after receipt. Note that you will continue to receive transaction-related emails regarding products or services you have requested. We may also send you certain non-promotional communications regarding imo and our Services and you will not be able to opt out of those communications (e.g., communications regarding updates to our Terms or this Privacy Policy).",User Control,98,4
98,98,2,about.musixmatch.com.txt,80,b. Mobile devices,User Control,4,2
99,99,2,about.musixmatch.com.txt,81,imo may occasionally send you push notifications through our mobile applications. You may at any time opt-out from receiving these types of communications by changing the settings on your mobile device. We may also collect location-based information if you use our mobile applications. You may opt-out of this collection by changing the settings on your mobile device.,User Control,61,4
100,100,2,about.musixmatch.com.txt,82,c. Do Not Track,User Control,4,1
101,101,2,about.musixmatch.com.txt,83,Do Not Track (“DNT”) is a privacy preference that users can set in certain web browsers and devices. DNT is a way for users to inform websites and services that they do not want certain information about their webpage visits collected over time and across websites or online services. Please note that we do not respond to or honor DNT signals or similar mechanisms transmitted by web browsers.,Cookies and Similar Technologies,75,3
103,103,2,about.musixmatch.com.txt,85,"As noted above, you may limit advertising tracking using advertising identifiers through your mobile device’s privacy settings.",User Control,21,1
104,104,2,about.musixmatch.com.txt,86,"The online advertising industry also provides websites from which you may opt-out of receiving targeted ads from our data partners and our other advertising partners that participate in self-regulatory programs. You can access these, and also learn more about targeted advertising and consumer choice and privacy, at http://www.networkadvertising.org/managing/opt_out.asp, or http://www.youronlinechoices.eu/ and http://www.aboutads.info/choices/.",User Control,63,2
106,106,2,about.musixmatch.com.txt,88,"You can edit, update, or delete your account at any time.",User Right,14,1
107,107,2,about.musixmatch.com.txt,89,"You may delete your chat history stored on imo’s servers by selecting the “Delete chat history” option in the settings of the imo app. You may delete your entire account, by selecting the “Delete imo account” option in the settings. Even if you delete your entire account, we may retain limited information about your mobile device for the purposes of fraud detection and enforcement of our Terms of Service.",User Right,80,3
108,108,2,about.musixmatch.com.txt,90,"You can request a download of your account information. To request a download, navigate to the “Request Account Info” button inside the Settings section of the app. You may edit your account information via the app.",User Right,42,3
109,109,2,about.musixmatch.com.txt,91,"Although imo makes good faith efforts to provide Individuals with access to their personal information, there may be circumstances in which imo is unable to provide access, including but not limited to: where the information contains legal privilege, would compromise others’ privacy or other legitimate rights, where the burden or expense of providing access would be disproportionate to the risks to the Individual’s privacy in the case in question or where it is commercially proprietary. If imo determines that access should be restricted in any particular instance, we will provide you with an explanation of why that determination has been made and a contact point for any further inquiries. To protect your privacy, imo will take commercially reasonable steps to verify your identity before granting access to or making any changes to your personal information.",User Right,148,3
111,111,2,about.musixmatch.com.txt,93,"Imo retains the personal information we receive as described in this Privacy Policy for as long as you use our Services or as necessary to fulfill the purpose(s) for which it was collected, provide our Services, resolve disputes, establish legal defenses, conduct audits, pursue legitimate business purposes, enforce our agreements, and comply with applicable laws.",Data Retention,66,1
113,113,2,about.musixmatch.com.txt,95,"Your account, and registration information are protected so that only you can access your account. All personally identifiable information that we collect about you is stored in limited-access servers. The Service has technical, administrative, and physical security measures in place to protect against the loss and misuse of the information which is under our control. While we are committed to implementing reasonable and appropriate safeguards to protect your information against foreseeable risks, no computer system or information can ever be fully protected against any possible risk, and we cannot guarantee that unauthorized third parties will not be able to circumvent those safeguards, or access and/or use your personal information for improper purposes.",Data Security,123,4
114,114,2,about.musixmatch.com.txt,96,"By using the Service or providing personal information to us, you agree that we may communicate with you electronically regarding security, privacy, and administrative issues relating to your use of the Service. If we learn of a security system’s breach, we may attempt to notify you electronically by posting a notice within the Service.",Data Security,62,2
116,116,2,about.musixmatch.com.txt,98,"imo is a U.S. company and stores data in the United States. This data is subject to U.S. laws. Thus, your information may be transferred to — and maintained on — computers located outside of your state, province, country, or other governmental jurisdiction where the privacy laws may not be as protective as those in your jurisdiction. If you are located outside the United States and choose to provide information to us, imo transfers that information to the United States and processes it there. By using the Service, you understand and consent that your information may be transferred to our facilities and those third parties with whom we share it as described in this Privacy Policy. If you are from the European Union or other regions with laws governing data collection and use, please note that you are agreeing to the transfer of your information to United States and to Processing of your data globally. By providing your personal information, you consent to any transfer and Processing in accordance with this Policy.",Data Transfer,187,7
118,118,2,about.musixmatch.com.txt,100,"The Services are not directed to children under 13 years of age, and imo does not knowingly collect Personally Identifiable Information from children under 13 years of age. If you learn that your child has provided us with personal information without your consent, you may delete your child’s entire account, by selecting the “Delete imo account” option in your child’s imo app settings or alert us at privacy@imo.im. If we learn that we have collected any personal information from children under 13 (and in certain jurisdictions under the age of 16), we will promptly take steps to delete such information and terminate the child’s account.",Internal and Specific Audiences,124,3
120,120,2,about.musixmatch.com.txt,102,"If you have any questions about our privacy practices or this Privacy Policy, please contact us by email at privacy@imo.im. We will address your concerns and attempt to resolve any privacy issues in a timely manner.",Privacy Contact Information,41,2
122,122,2,about.musixmatch.com.txt,104,"We may modify our Privacy Policy from time to time. When we make changes, we will notify you by making the revised version available on this webpage, and will indicate at the top the date of the latest revision. You should check this Privacy Policy on a regular basis, since revised versions will be binding on you. Any such modifications will be effective when we post the updated Privacy Policy. You understand and agree that your continued access to our Service after any posted modification to the Privacy Policy indicates your acceptance of those modifications.",Policy Change,103,5
124,124,2,about.musixmatch.com.txt,106,"If you have any questions about this Privacy Policy, please contact us online at privacy@imo.im",Privacy Contact Information,18,1
175,175,3,account.nicovideo.jp.txt,49,"In order to provide customers with better services, DWANGO Co., Ltd. (the “Company”) shall provide specific rules on appropriate collection of personal information, criteria for use and management, and shall treat customers’ personal information appropriately as important assets.",Introductory/Generic,48,1
176,176,3,account.nicovideo.jp.txt,50,"The Company shall comply with the Act on the Protection of Personal Information (the “Personal Information Protection Act”) and other related laws and regulations, designate a person in charge of personal information protection, check whether the personal information is treated appropriately in line with the rules, and improve any issues discovered.",Introductory/Generic,59,1
177,177,3,account.nicovideo.jp.txt,51,The Company shall organize technical and personal safety measures so as to maintain accurate personal information and so as not to cause any disturbance to customers due to leaks of personal information outside the company or unauthorized alteration of personal information.,Introductory/Generic,42,1
180,180,3,account.nicovideo.jp.txt,54,"The Company shall acquire personal information (as defined in Article 2, paragraph 1 of the Personal Information Protection Act) such as names, addresses, birthdates, telephone numbers, email addresses and financial institution account information as well as the following agreed information and collected information (hereinafter agreed information and collected information shall be collectively referred to as the “User Information”) in relation to the services that the Company provides (the “Services”).",First Party Collection,85,1
181,181,3,account.nicovideo.jp.txt,55,Agreed information:The following information collected by the Company based on customers permission where customers allow the Company to collaborate with external services when using the Services.,First Party Collection,29,1
182,182,3,account.nicovideo.jp.txt,56,IDs that the customers use for external services,First Party Collection,8,1
183,183,3,account.nicovideo.jp.txt,57,Information that the customers allowed to be disclosed to collaborating third parties using an external services’ privacy setting,First Party Collection,19,1
184,184,3,account.nicovideo.jp.txt,58,Collected information:,First Party Collection,3,1
185,185,3,account.nicovideo.jp.txt,59,The following information regarding the status of customers’ access to and the use of the Services:Terminal identification informationCommunication history,First Party Collection,22,1
186,186,3,account.nicovideo.jp.txt,60,History of services used and pages and advertisements viewed,First Party Collection,9,1
187,187,3,account.nicovideo.jp.txt,61,Cookie information,First Party Collection,2,1
188,188,3,account.nicovideo.jp.txt,62,Location information,First Party Collection,2,1
189,189,3,account.nicovideo.jp.txt,63,2. Purpose of use,First Party Use,5,2
190,190,3,account.nicovideo.jp.txt,64,"The Company shall identify and clarify the purpose for which the personal information and the User Information that it acquires from customers will be used, and shall not use personal information and User Information for any other purposes. Where the Company acquires personal information and User Information from customers, it shall use them for the following purposes:Providing and operating the Services.",First Party Use,67,2
191,191,3,account.nicovideo.jp.txt,65,"Accepting, investigating and answering inquiries.",First Party Use,7,1
192,192,3,account.nicovideo.jp.txt,66,"Sending emails regarding the Services containing information about new functions, updated information and special offers.",First Party Use,17,1
193,193,3,account.nicovideo.jp.txt,67,Sending and returning ordered products and awards such as free giveaways.,First Party Use,12,1
194,194,3,account.nicovideo.jp.txt,68,Communicating confirmation upon shipping.,First Party Use,5,1
195,195,3,account.nicovideo.jp.txt,69,Handling affairs such as acceptance of orders and payments.,First Party Use,10,1
196,196,3,account.nicovideo.jp.txt,70,Providing information as necessary on matters such as maintenance and important notices.,First Party Use,13,1
197,197,3,account.nicovideo.jp.txt,71,"Tallying, analyzing and preparing statistical materials on attribution of personal information and User Information. (Statistical materials shall refer to materials processed so that individuals cannot be recognized or identified, and may be used or handled to conduct functions such as development of new services. In addition, the statistical materials may be provided to allied parties.)",First Party Use,64,3
198,198,3,account.nicovideo.jp.txt,72,"Conducting marketing surveys, planning, and conducting research and development.",First Party Use,12,1
199,199,3,account.nicovideo.jp.txt,73,Identifying individuals who breached the terms of use and refusing their use.,First Party Use,13,1
200,200,3,account.nicovideo.jp.txt,74,Enhancing convenience for customers such as by customizing advertisements and contents that customers see in using the services.,First Party Use,19,1
201,201,3,account.nicovideo.jp.txt,75,"Having customers view, change or delete their registered information or view their status of use.",First Party Use,17,1
202,202,3,account.nicovideo.jp.txt,76,Billing customers’ usage fees for fee-based services.,First Party Use,9,1
203,203,3,account.nicovideo.jp.txt,77,Communicating with customers that uploaded contents on the services provided by the Company regarding the use of such contents.,First Party Use,20,1
204,204,3,account.nicovideo.jp.txt,78,"Advertising sponsor companies and providing information on the services provided by allied companies. (Allied companies shall mean companies with which the Company is allied and jointly provides services or companies that conduct joint research with the Company and their group companies. Except in the cases of sections 3 to 4 below, personal information shall not be provided to allied companies, and even where the User Information and personal information are provided (pursuant to sections 3 to 4 below, in the case of the latter), the Company shall appropriately supervise the allied companies as necessary.)",First Party Use,105,3
205,205,3,account.nicovideo.jp.txt,79,"Where there are allied companies and customers use the services jointly provided by such companies and the Company (the “Joint Services”), providing the allied companies User Information to the minimum extent necessary to provide the Joint Services.",First Party Use,43,1
206,206,3,account.nicovideo.jp.txt,80,Providing collected information to the allied companies (excluding recognizable customers’ IDs) and conducting joint research in order to enhance services and improve technology (the result of such research may be published).,First Party Use,37,1
207,207,3,account.nicovideo.jp.txt,81,3. Provision of personal information to third parties,Third Party Sharing and Collection,9,2
208,208,3,account.nicovideo.jp.txt,82,"In principle, the Company will not disclose or provide personal information to a third party without the customers’ consent. However, it may disclose or provide the same in the case of the following:If based on laws and regulations.",Third Party Sharing and Collection,45,2
209,209,3,account.nicovideo.jp.txt,83,If the Company entrusts all or part of the handling of personal information to a third party within the extent necessary to achieve the purpose of use.,Third Party Sharing and Collection,28,1
210,210,3,account.nicovideo.jp.txt,84,"If the handling of personal information is necessary for the protection of the life, body, or property of an individual and where it is difficult to obtain the consent of the person.",Third Party Sharing and Collection,35,1
211,211,3,account.nicovideo.jp.txt,85,If the handling of personal information is necessary to improve public health or promote the sound growth of children and where it is difficult to obtain the consent of the person.,Third Party Sharing and Collection,32,1
212,212,3,account.nicovideo.jp.txt,86,"If the handling of personal information is necessary to cooperate with a state organ, a local government, or an individual or a business operator entrusted by either of the former two in executing the affairs prescribed by laws and regulations and where obtaining the consent of the person is likely to impede the execution of the affairs concerned.",Third Party Sharing and Collection,61,1
213,213,3,account.nicovideo.jp.txt,87,If falling within events for which the Users have consented in the terms of use of the services provided by the business operator.,Third Party Sharing and Collection,24,1
215,215,3,account.nicovideo.jp.txt,89,"The Company may entrust an entrusted party with functions including handling of personal information to the extent necessary to provide services and products. Even in such cases, the Company shall enter into an agreement to obligate the entrusted party not to divulge or provide the personal information to another party without the consent of the Company and shall appropriately control the same. Where inevitable to provide services or products, the entrusted party may directly contact customers, which customers are asked to approve of in advance.",Other,91,3
217,217,3,account.nicovideo.jp.txt,91,"The Company shall appropriately operate the services pursuant to laws and other rules so that personal information will not be divulged. However, the Company shall be exempted from liability where any issues arise from a third party acquisition of personal information in the following cases:If a customer reveals his/her personal information to another customer using a function on the Services or other means.",Third Party Sharing and Collection,68,2
218,218,3,account.nicovideo.jp.txt,92,If an individual was unexpectedly identified from the information another customer entered on the services.,Third Party Sharing and Collection,16,1
219,219,3,account.nicovideo.jp.txt,93,"In the case of other accidents, such as where personal information was otherwise divulged without any negligence on the part of the Company.",Third Party Sharing and Collection,25,1
221,221,3,account.nicovideo.jp.txt,95,"Where a customer requests that personal information be disclosed pursuant to the Personal Information Protection Act, the Company shall confirm that the request was made by the customer himself/herself and disclose personal information to the relevant customer without delay (where no such personal information exists, the Company shall notify the customer to that effect). However, the foregoing shall not apply where the Company is not obligated to disclose the personal information pursuant to the Personal Information Protection Act or other laws or regulations.",Third Party Sharing and Collection,90,2
223,223,3,account.nicovideo.jp.txt,97,"Where a customer requests that corrections, additions or deletions (“Corrections, etc.”) be made to the substance of personal information pursuant to the Personal Information Protection Act due to inaccuracies in the personal information, the Company shall confirm that the request was made by the customer himself/herself, conduct a necessary investigation without delay to the extent necessary to achieve the purpose of use, make Corrections, etc. to the substance of the personal information based on the result, and notify the customer to that effect (where it is determined that no such Corrections, etc. will be made, the Company shall notify the customer to that effect). However, the foregoing shall not apply where the Company is not obligated to make Corrections, etc. pursuant to the Personal Information Protection Act or other laws or regulations.",User Right,154,5
225,225,3,account.nicovideo.jp.txt,99,"Where a customer requests that the use of personal information be suspended or that personal information be deleted (“Suspension of Use, etc.”) pursuant to the Personal Information Protection Act because the customers’ personal information is being used for purposes outside the originally published purpose of use or acquired due to fraud or other unlawful means, and where the request is found to have grounds, the Company shall confirm that the request was made by the customer himself/herself, execute a Suspension of Use, etc. of the personal information without delay, and notify the customer to that effect. However, the foregoing shall not apply where the Company is not obligated to execute a Suspension of Use, etc. pursuant to the Personal Information Protection Act or other laws or regulations.",User Right,144,4
229,229,3,account.nicovideo.jp.txt,103,"Personal information disclosure request procedure:Requests for disclosure and Correction, etc. of account information should be made by the customer himself/herself online on the niconico menu account setting. Requests for a Suspension of Use, etc. of account information as well as disclosure, Correction, etc. and a Suspension of Use, etc. of personal information other than account information, please contact the Personal Information Inquiry Desk, specifying the following items: * Some of the niconico services allow customers to make disclosures, Corrections, etc. and Suspensions of Use, etc. themselves.(i) Substance of the personal information in relation to which the request is being made(ii) Name of the subject service in relation to which the request is being made(iii) Reasons for the request(iv) Measures being requested (e.g. disclosure, correction/addition/deletion, suspension of use/removal of personal information)",Third Party Sharing and Collection,168,10
230,230,3,account.nicovideo.jp.txt,104,"Depending on the substance of the request made by the customer, after receiving a request from a customer, the Company will request that the customer present information such as a user ID and registered email address, and will confirm that the request is being made by the customer himself/herself. After completing the confirmation, the Company will take the necessary measures without delay in accordance with the Personal Information Protection Policies.",Other,76,2
231,231,3,account.nicovideo.jp.txt,105,"Where the subject of the request pertains to important personal information such as names, addresses, telephone numbers, financial institution account information and credit card information, or where the request is made by an agent on behalf the relevant customer, documents designated by the Company which are necessary to identify the requesting customer or certifying the power of attorney will be asked to be submitted. Please acknowledge this in advance.",Other,76,2
233,233,3,account.nicovideo.jp.txt,107,"Please beware that where a customer’s most up-to-date and accurate information is not provided, the customer may not be able to receive appropriate services.",Other,28,1
243,243,4,adwebmart.com.txt,9,For LLC «WebmartGroup» ensuring of rights’ and interests’ protection of the Users is one of the most priority issues considering the peculiarities of usage of LLC «WebmartGroup» services.,Introductory/Generic,35,1
244,244,4,adwebmart.com.txt,10,Provision of personal identifying information is necessary for the User in order to access to LLC «WebmartGroup» services receipt. Non-provision of the respective personal data by the User shall result in inability for the LLC «WebmartGroup» to provide services to the User.,Introductory/Generic,48,2
245,245,4,adwebmart.com.txt,11,"Within the present privacy policy of the LLC «WebmartGroup» under personal data the information relating to an identified or identifiable User is understood, in particular: name, surname, e-mail address.",Introductory/Generic,36,1
246,246,4,adwebmart.com.txt,12,Personal data do not include anonymous data that do not relate to an identified or are not identifiable in relation to concrete User as well as depersonalized data.,Introductory/Generic,29,1
247,247,4,adwebmart.com.txt,13,"Purpose of User’s personal data processing: fulfillment of the provisions of the Terms of Use concluded between the User and the LLC «WebmartGroup», provision of the User’s access to the services provided by the LLC «WebmartGroup».",First Party Use,47,1
